image_path,caption
image1.jpg,a beautiful sunset over the mountains with orange and pink colors in the sky
image2.jpg,a cat sitting on a windowsill looking outside curiously
image3.jpg,a group of friends having dinner at a restaurant with various dishes on the table
image4.jpg,a modern city skyline at night with bright lights and tall buildings
image5.jpg,a person riding a bicycle on a forest trail surrounded by trees
image6.jpg,a plate of fresh pasta with tomato sauce and parmesan cheese
image7.jpg,a dog playing with a ball in a grassy park on a sunny day
image8.jpg,an old vintage car parked on a street in front of historic buildings
image9.jpg,a person reading a book while sitting on a bench in a garden
image10.jpg,a bowl of fresh fruit including apples, bananas, and oranges
